,Taxa,PercentFaunalDegradation,DietaryRedundancy,Mean,Lower,Upper,
"1/75 , Compensation",Total,25,Yes,-2985,-3407,-2564,
"1/75 , Compensation",Total,50,Yes,-6381,-7280,-5482,
"1/75 , Compensation",Total,100,Yes,-14025,-16000,-12050,
"1/75 , Compensation",Elephant,25,Yes,-87,-103,-71,
"1/75 , Compensation",Elephant,50,Yes,-289,-338,-240,
"1/75 , Compensation",Elephant,100,Yes,-516,-605,-426,
"1/75 , Compensation",Ape,25,Yes,-249,-289,-209,
"1/75 , Compensation",Ape,50,Yes,-518,-600,-436,
"1/75 , Compensation",Ape,100,Yes,-1019,-1181,-857,
"1/75 , Compensation",Monkey,25,Yes,-87,-106,-69,
"1/75 , Compensation",Monkey,50,Yes,-173,-209,-137,
"1/75 , Compensation",Monkey,100,Yes,-368,-439,-296,
"1/75 , Compensation",Rodent,25,Yes,-8,-14,-3,
"1/75 , Compensation",Rodent,50,Yes,-49,-66,-33,
"1/75 , Compensation",Rodent,100,Yes,-76,-105,-47,
"1/75 , Compensation",Duiker,25,Yes,7,4,11,
"1/75 , Compensation",Duiker,50,Yes,4,-5,12,
"1/75 , Compensation",Duiker,100,Yes,17,3,32,
"1/75, No Compensation",Total,25,No,-3000,-3423,-2577,
"1/75, No Compensation",Total,50,No,-6405,-7308,-5502,
"1/75, No Compensation",Total,100,No,-14063,-16044,-12083,
"1/75, No Compensation",Elephant,25,No,-2398,-2737,-2059,
"1/75, No Compensation",Elephant,50,No,-4796,-5474,-4118,
"1/75, No Compensation",Elephant,100,No,-9625,-10986,-8264,
"1/75, No Compensation",Ape,25,No,-1378,-1575,-1181,
"1/75, No Compensation",Ape,50,No,-2775,-3171,-2378,
"1/75, No Compensation",Ape,100,No,-5608,-6410,-4806,
"1/75, No Compensation",Monkey,25,No,-1153,-1320,-987,
"1/75, No Compensation",Monkey,50,No,-2272,-2600,-1943,
"1/75, No Compensation",Monkey,100,No,-4556,-5215,-3897,
"1/75, No Compensation",Rodent,25,No,-813,-932,-695,
"1/75, No Compensation",Rodent,50,No,-1614,-1849,-1378,
"1/75, No Compensation",Rodent,100,No,-3211,-3679,-2743,
"1/75, No Compensation",Duiker,25,No,-894,-1024,-765,
"1/75, No Compensation",Duiker,50,No,-1810,-2073,-1548,
"1/75, No Compensation",Duiker,100,No,-3579,-4098,-3061,